distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
0	enst00000380713	sg00000182093	get1-202	21	39386093	39393280	+	mRNA	protein_coding
1606	enst00000380708	sg00000182093	get1-201	21	39387765	39397889	+	mRNA	protein_coding
1632	enst00000466787	sg00000182093	get1-206	21	39387791	39397254	+	mRNA	nonsense_mediated_decay
-4634	enst00000442773	sg00000182093	get1-205	21	39380487	39390803	+	mRNA	protein_coding
-4643	enst00000649822	sg00000182093	get1-221	21	39380478	39397888	+	mRNA	nonsense_mediated_decay
-4663	enst00000398753	sg00000182093	get1-203	21	39380458	39397116	+	mRNA	protein_coding
4670	enst00000649499	sg00000182093	get1-220	21	39390829	39428504	+	mRNA	nonsense_mediated_decay
4701	enst00000650208	sg00000182093	get1-222	21	39390860	39428326	+	lnc_RNA	processed_transcript
-4707	enst00000471468	sg00000182093	get1-207	21	39380414	39391205	+	lnc_RNA	retained_intron
-4707	enst00000649224	sg00000182093	get1-219	21	39380414	39397485	+	mRNA	nonsense_mediated_decay
-4727	enst00000487869	sg00000182093	get1-211	21	39380394	39392046	+	lnc_RNA	retained_intron
-4749	enst00000649100	sg00000182093	get1-217	21	39380372	39415390	+	mRNA	nonsense_mediated_decay
-4753	enst00000647911	sg00000182093	get1-215	21	39380368	39428481	+	mRNA	nonsense_mediated_decay
-4767	enst00000623703	sg00000182093	get1-213	21	39380354	39414288	+	mRNA	nonsense_mediated_decay
-4772	enst00000648253	sg00000285815	wrb-sh3bgr-202	21	39380349	39515321	+	mRNA	nonsense_mediated_decay
-4789	enst00000647779	sg00000285815	wrb-sh3bgr-201	21	39380332	39515506	+	mRNA	protein_coding
-4795	enst00000649170	sg00000182093	get1-218	21	39380326	39397889	+	mRNA	protein_coding
-5550	enst00000650376	sg00000182093	get1-223	21	39379571	39397743	+	mRNA	protein_coding
-5582	enst00000647678	sg00000182093	get1-214	21	39379539	39397887	+	mRNA	protein_coding
6737	enst00000490860	sg00000182093	get1-212	21	39392896	39397104	+	lnc_RNA	retained_intron
-7423	enst00000415847	sg00000182093	get1-204	21	39377698	39406615	+	mRNA	protein_coding
-8055	enst00000444889	sg00000227406	rnf6p1-201	21	39373763	39377066	-	pseudogenic_transcript	processed_pseudogene
24710	enst00000478273	sg00000182093	get1-209	21	39410869	39428528	+	mRNA	protein_coding
24988	enst00000495240	sg00000157578	lca5l-221	21	39405978	39411147	-	lnc_RNA	processed_transcript
26259	enst00000648495	sg00000182093	get1-216	21	39412418	39428500	+	lnc_RNA	processed_transcript
-35474	enst00000380747	sg00000205581	hmgn1-202	21	39342879	39349647	-	mRNA	protein_coding
-35777	enst00000492280	sg00000205581	hmgn1-220	21	39342315	39349344	-	lnc_RNA	retained_intron
-35981	enst00000431390	sg00000205581	hmgn1-206	21	39342315	39349140	-	mRNA	nonsense_mediated_decay
-36022	enst00000486741	sg00000205581	hmgn1-216	21	39342315	39349099	-	lnc_RNA	retained_intron
-36033	enst00000436324	sg00000205581	hmgn1-207	21	39342646	39349088	-	mRNA	nonsense_mediated_decay
-36033	enst00000380749	sg00000205581	hmgn1-204	21	39342315	39349088	-	mRNA	protein_coding
-36054	enst00000491183	sg00000205581	hmgn1-219	21	39347147	39349067	-	lnc_RNA	processed_transcript
-36067	enst00000464078	sg00000205581	hmgn1-210	21	39343137	39349054	-	lnc_RNA	retained_intron
-36067	enst00000443046	sg00000205581	hmgn1-208	21	39343009	39349054	-	mRNA	nonsense_mediated_decay
-36067	enst00000463631	sg00000205581	hmgn1-209	21	39348065	39349054	-	lnc_RNA	retained_intron
-36068	enst00000380748	sg00000205581	hmgn1-203	21	39342692	39349053	-	mRNA	protein_coding
-36081	enst00000419378	sg00000205581	hmgn1-205	21	39342788	39349040	-	mRNA	nonsense_mediated_decay
-36101	enst00000482733	sg00000205581	hmgn1-214	21	39347995	39349020	-	lnc_RNA	retained_intron
-36106	enst00000479586	sg00000205581	hmgn1-212	21	39347336	39349015	-	lnc_RNA	processed_transcript
-36110	enst00000652622	sg00000205581	hmgn1-221	21	39342338	39349011	-	mRNA	nonsense_mediated_decay
