distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
0	ensorlt00000000515	sorlg00000000417		9	1935527	1940777	-	mRNA	protein_coding
5108	ensorlt00000045125	sorlg00000024554		9	1943765	1946356	-	mRNA	protein_coding
7231	ensorlt00000035817	sorlg00000024525		9	1948479	1951063	+	mRNA	protein_coding
-16353	ensorlt00000000492	sorlg00000000401	siat8c2-201	9	1923928	1930131	+	mRNA	protein_coding
17604	ensorlt00000000568	sorlg00000000460	zgc:172315-201	9	1951151	1958852	-	mRNA	protein_coding
-21219	ensorlt00000000472	sorlg00000000384		9	1919062	1922638	+	mRNA	protein_coding
23590	ensorlt00000000572	sorlg00000000466	tal2-201	9	1964500	1964838	-	mRNA	protein_coding
43286	ensorlt00000031314	sorlg00000030010		9	1967230	1984534	-	mRNA	protein_coding
-51991	ensorlt00000000458	sorlg00000000372	zenzai-202	9	1878531	1888290	-	mRNA	protein_coding
-52258	ensorlt00000035514	sorlg00000000372	zenzai-201	9	1875739	1888023	-	mRNA	protein_coding
53921	ensorlt00000000597	sorlg00000000488	krt1-c5-202	9	1988611	1995169	-	mRNA	protein_coding
54453	ensorlt00000000595	sorlg00000000488	krt1-c5-201	9	1988298	1995701	-	mRNA	protein_coding
70200	ensorlt00000000611	sorlg00000000498	si:ch211-236k19.2-201	9	2004120	2011448	-	mRNA	protein_coding
85249	ensorlt00000000625	sorlg00000000509	ptgs1-201	9	2026497	2038137	+	mRNA	protein_coding
-86306	ensorlt00000039311	sorlg00000000353		9	1853975	1866218	+	mRNA	protein_coding
-88593	ensorlt00000000429	sorlg00000000353		9	1851688	1866218	+	mRNA	protein_coding
-88593	ensorlt00000036394	sorlg00000000353		9	1851688	1866218	+	mRNA	protein_coding
-91353	ensorlt00000000419	sorlg00000000346		9	1847206	1848928	-	mRNA	protein_coding
-96032	ensorlt00000032405	sorlg00000027430		9	1840506	1844249	-	mRNA	protein_coding
