pvalue	chromosome	start	end	Number of nearby TSS	closest tx id	closest tx name	closest tx biotype	distance to tss
1.0818823060488641e-60	15	13014693	13015794	26	ensorlt00000004176		protein_coding	0
7.391532892635876e-58	16	26220047	26221325	10	ensorlt00000019438	sh3bp5b-201	protein_coding	-24958
1.1648488503712975e-56	17	316390	318610	5	ensorlt00000002667		protein_coding	-155
5.370468030267734e-55	11	27686928	27688355	3	ensorlt00000017935		protein_coding	-21358
1.1979905389873032e-53	4	7874048	7875618	12	ensorlt00000006287	onecut3a-201	protein_coding	-11370
1.6567030500258035e-47	15	1565040	1565987	13	ensorlt00000023980	galm-201	protein_coding	12910
2.346619167349899e-44	2	23361417	23362425	4	ensorlt00000007888	gart-201	protein_coding	-38910
2.906511414439011e-43	2	12169442	12171060	3	ensorlt00000028404		protein_coding	-21573
4.079874116672647e-43	8	450569	451548	25	ensorlt00000033385		protein_coding	0
9.427526292854412e-43	8	23224550	23225428	31	ensorlt00000020885	dnase1-201	protein_coding	-3599
1.8143020845764264e-41	2	3660038	3660922	7	ensorlt00000030756		protein_coding	1339
3.173364949821665e-41	22	1816785	1817685	40	ensorlt00000040061	tc2n-202	protein_coding	3476
4.4692206094162363e-41	16	7720134	7721846	20	ensorlt00000030918		protein_coding	0
5.372299368842349e-41	5	19638728	19639909	3	ensorlt00000012721	ptprga-201	protein_coding	-42024
3.3332531880862836e-40	14	24222331	24223586	17	ensorlt00000017345	pgap2-201	protein_coding	2381
8.858287467271649e-40	20	15042642	15043458	10	ensorlt00000009283	myrip-201	protein_coding	13518
1.2330428263386115e-39	3	309650	310584	18	ensorlt00000032145		protein_coding	3012
2.9669684460937067e-38	19	1948176	1949405	19	ensorlt00000036726		protein_coding	-2370
1.75152955273394e-36	14	29614617	29615705	8	ensorlt00000041944	sgcd-201	protein_coding	8035
2.1080635603058486e-36	22	2405753	2407192	27	ensorlt00000027844	tbpl2-202	protein_coding	0
8.055971599520009e-36	16	7663486	7664331	21	ensorlt00000046836	chsy1-201	protein_coding	-33723
1.0957650771538935e-35	9	1939074	1940052	19	ensorlt00000000515		protein_coding	725
2.1768729104309036e-35	17	48535	49910	0				
3.0237200355993047e-35	2	22706556	22707650	17	ensorlt00000007125	cdadc1-201	protein_coding	5505
3.7246761187853606e-35	12	2187537	2190115	15	ensorlt00000001441		protein_coding	-10253
