distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
-213	yel048c_m	yel048c	tca17	V	64709	65167	-	mRNA	protein_coding
1185	yel047c_m	yel047c	frd1	V	65385	66797	-	mRNA	protein_coding
-1652	yel049w_m	yel049w	pau2	V	63728	64090	+	mRNA	protein_coding
3180	yel046c_m	yel046c	gly1	V	67629	68792	-	mRNA	protein_coding
-3420	g(gcc)e_	tg(gcc)		V	61890	61960	-	tRNA	trna
3653	yel045c_m	yel045c		V	68840	69265	-	mRNA	protein_coding
-3681	53_sno	snr53		V	61699	61789	+	snoRNA	snorna
-4028	67_sno	snr67		V	61352	61433	+	snoRNA	snorna
4145	yel044w_m	yel044w	ies6	V	69757	70257	+	mRNA	protein_coding
-4529	yel050c_m	yel050c	rml2	V	59670	60851	-	mRNA	protein_coding
4866	yel043w_m	yel043w		V	70478	73348	+	mRNA	protein_coding
-5831	yel050w-a_m	yel050w-a		V	59549	59740	+	mRNA	protein_coding
-7002	yel051w_m	yel051w	vma8	V	58378	59148	+	mRNA	protein_coding
8159	yel042w_m	yel042w	gda1	V	73771	75327	+	mRNA	protein_coding
-8809	yel052w_m	yel052w	afg1	V	56571	58100	+	mRNA	protein_coding
-9278	yel053c_m	yel053c	mak10	V	53901	56102	-	mRNA	protein_coding
10332	yel041w_m	yel041w	yef1	V	75944	77431	+	mRNA	protein_coding
-12162	yel054c_m	yel054c	rpl12a	V	52721	53218	-	mRNA	protein_coding
12441	yel040w_m	yel040w	utr2	V	78053	79456	+	mRNA	protein_coding
-12472	yel053w-a_m	yel053w-a		V	52908	53255	+	mRNA	protein_coding
-13060	80_sno	snr80		V	52150	52320	-	snoRNA	snorna
-13841	yel055c_m	yel055c	pol5	V	48471	51539	-	mRNA	protein_coding
14365	yel039c_m	yel039c	cyc7	V	79636	79977	-	mRNA	protein_coding
14850	yel038w_m	yel038w	utr4	V	80462	81145	+	mRNA	protein_coding
16991	yel037c_m	yel037c	rad23	V	81407	82603	-	mRNA	protein_coding
-18212	yel056w_m	yel056w	hat2	V	47168	48373	+	mRNA	protein_coding
18940	yel036c_m	yel036c	anp1	V	83050	84552	-	mRNA	protein_coding
-19659	yel057c_m	yel057c	sdd1	V	45020	45721	-	mRNA	protein_coding
19933	yel035c_m	yel035c	utr5	V	85045	85545	-	mRNA	protein_coding
20064	yel034w_m	yel034w	hyp2	V	85676	86149	+	mRNA	protein_coding
20567	yel033w_m	yel033w	mtc7	V	86179	86598	+	mRNA	protein_coding
20603	yel034c-a_m	yel034c-a		V	85613	86215	-	mRNA	protein_coding
20992	(aga)e_	ts(aga)		V	86604	86685	+	tRNA	trna
21325	yel032w_m	yel032w	mcm3	V	86937	89852	+	mRNA	protein_coding
21589	yel032c-a_m	yel032c-a		V	87040	87201	-	mRNA	protein_coding
-22128	yel058w_m	yel058w	pcm1	V	43252	44925	+	mRNA	protein_coding
-22728	yel059w_m	yel059w	hhy1	V	42652	42960	+	mRNA	protein_coding
-22756	yel059c-a_m	yel059c-a	som1	V	42400	42624	-	mRNA	protein_coding
-23427	yel060c_m	yel060c	prb1	V	40046	41953	-	mRNA	protein_coding
24646	yel031w_m	yel031w	spf1	V	90258	93905	+	mRNA	protein_coding
-25843	yel061c_m	yel061c	cin8	V	36535	39537	-	mRNA	protein_coding
29032	yel030w_m	yel030w	ecm10	V	94644	96578	+	mRNA	protein_coding
29285	yel030c-a_m	yel030c-a		V	94583	94897	-	mRNA	protein_coding
-30973	yel062w_m	yel062w	npr2	V	34407	36254	+	mRNA	protein_coding
-31914	yel063c_m	yel063c	can1	V	31694	33466	-	mRNA	protein_coding
32184	yel029c_m	yel029c	bud16	V	96858	97796	-	mRNA	protein_coding
33056	yel028w_m	yel028w		V	98668	99129	+	mRNA	protein_coding
-34141	yel064c_m	yel064c	avt2	V	29797	31239	-	mRNA	protein_coding
34521	m(cau)e_	tm(cau)		V	100133	100204	+	tRNA	trna
35157	yel027w_m	yel027w	vma3	V	100769	101251	+	mRNA	protein_coding
36331	yel026w_m	yel026w	snu13	V	101943	102323	+	mRNA	protein_coding
-37723	yel065w_m	yel065w	sit1	V	27657	29543	+	mRNA	protein_coding
-38604	yel067c_m	yel067c		V	26189	26776	-	mRNA	protein_coding
