rank	chromosome	start	end	pvalue	Number of nearby TSS	closest tx id	closest tx name	closest tx biotype	distance to tss
#1	15	13014693	13015794	1.0818823060488641e-60	64	ensorlt00000004176	-	protein_coding	0
#2	16	26220047	26221325	7.391532892635876e-58	57	ensorlt00000028824	sh3bp5b-202	protein_coding	-24958
#3	17	316390	318610	1.1648488503712975e-56	22	ensorlt00000002667	-	protein_coding	-155
#4	11	27686928	27688355	5.370468030267734e-55	16	ensorlt00000017935	-	protein_coding	-21358
#5	4	7874048	7875618	1.1979905389873032e-53	57	ensorlt00000006287	onecut3a-201	protein_coding	-11370
#6	15	1565040	1565987	1.6567030500258035e-47	49	ensorlt00000023980	galm-201	protein_coding	12910
#7	2	23361417	23362425	2.346619167349899e-44	48	ensorlt00000007888	gart-201	protein_coding	-38910
#8	2	12169442	12171060	2.906511414439011e-43	40	ensorlt00000028404	-	protein_coding	-21573
#9	8	450569	451548	4.079874116672647e-43	128	ensorlt00000033385	-	protein_coding	0
#10	8	23224550	23225428	9.427526292854412e-43	79	ensorlt00000020885	dnase1-201	protein_coding	-3599
#11	2	3660038	3660922	1.8143020845764264e-41	29	ensorlt00000030756	-	protein_coding	1339
#12	22	1816785	1817685	3.173364949821665e-41	132	ensorlt00000040061	tc2n-202	protein_coding	3476
#13	16	7720134	7721846	4.4692206094162363e-41	50	ensorlt00000030918	-	protein_coding	0
#14	5	19638728	19639909	5.372299368842349e-41	49	ensorlt00000012721	ptprga-201	protein_coding	-42024
#15	14	24222331	24223586	3.3332531880862836e-40	74	ensorlt00000017345	pgap2-201	protein_coding	2381
#16	20	15042642	15043458	8.858287467271649e-40	59	ensorlt00000009283	myrip-201	protein_coding	13518
#17	3	309650	310584	1.2330428263386115e-39	56	ensorlt00000032145	-	protein_coding	3012
#18	19	1948176	1949405	2.9669684460937067e-38	91	ensorlt00000036726	-	protein_coding	-2370
#19	14	29614617	29615705	1.75152955273394e-36	39	ensorlt00000041944	sgcd-201	protein_coding	8035
#20	22	2405753	2407192	2.1080635603058486e-36	100	ensorlt00000027844	tbpl2-202	protein_coding	0
#21	16	7663486	7664331	8.055971599520009e-36	49	ensorlt00000046836	chsy1-201	protein_coding	-33723
#22	9	1939074	1940052	1.0957650771538935e-35	67	ensorlt00000000515	-	protein_coding	725
#23	17	48535	49910	2.1768729104309036e-35	21	ensorlt00000036518	-	protein_coding	118015
#24	2	22706556	22707650	3.0237200355993047e-35	60	ensorlt00000007125	cdadc1-201	protein_coding	5505
#25	2	23324373	23325538	3.7246761187853606e-35	54	ensorlt00000007888	gart-201	protein_coding	-1866
#26	12	2187537	2190115	3.7246761187853606e-35	82	ensorlt00000001441	-	protein_coding	-10253
#27	5	30060867	30062266	1.6352722479925962e-34	48	ensorlt00000034046	-	protein_coding	-778
#28	6	1003683	1004493	5.251965495414076e-34	29	ensorlt00000023961	ptprz1a-201	protein_coding	53144
#29	3	7956996	7957867	1.8630586029182203e-33	16	ensorlt00000001148	chst1-201	protein_coding	-109793
#30	14	29286331	29287419	5.9371766380410834e-33	34	ensorlt00000019460	galnt10-201	protein_coding	-6650
#31	7	26640756	26641574	1.2885715944570035e-32	36	ensorlt00000028663	-	protein_coding	74898
#32	6	4948049	4949056	1.5493035707288685e-32	44	ensorlt00000043528	-	protein_coding	0
#33	9	1940281	1941248	2.0900960530615359e-32	67	ensorlt00000000515	-	protein_coding	0
#34	14	19955750	19956691	6.273924252385645e-32	62	ensorlt00000031151	rps6ka4-202	protein_coding	14624
#35	6	2209392	2211073	8.909608536050553e-32	21	ensorlt00000028066	-	protein_coding	916
#36	1	1608911	1609767	1.3700598998227565e-31	84	ensorlt00000000072	-	protein_coding	-4370
#37	11	14611139	14611909	2.0411763590751397e-31	49	ensorlt00000007402	si:ch73-160i9.1-201	protein_coding	912
#38	18	19963184	19964018	3.35137568258231e-31	31	ensorlt00000030927	si:ch211-200p22.4-204	protein_coding	35228
#39	24	10286328	10287069	2.559044208968461e-30	64	ensorlt00000040621	mfsd4b-202	protein_coding	0
#40	1	28861433	28862812	5.839936479102335e-30	94	ensorlt00000015172	gnav1-201	protein_coding	3270
#41	1	28858118	28859215	2.0638330405276588e-29	94	ensorlt00000015172	gnav1-201	protein_coding	6867
#42	3	16474087	16474976	3.618471190027074e-28	44	ensorlt00000005943	grk1-201	protein_coding	-3223
#43	23	3850204	3850968	5.413528612706652e-28	38	ensorlt00000032665	arntl2-202	protein_coding	8784
#44	15	29821056	29822141	7.71121161918314e-28	73	ensorlt00000035168	mypn-203	protein_coding	-11292
#45	13	383208	383975	1.3832355143480204e-27	85	ensorlt00000032832	sst1.1-201	protein_coding	485
#46	8	21261846	21262796	1.4855273775793643e-27	64	ensorlt00000024432	-	protein_coding	-5983
#47	10	1395471	1396245	1.5171932677223604e-27	49	ensorlt00000030488	-	protein_coding	-24754
#48	23	22979232	22979976	1.8589756456884786e-27	66	ensorlt00000021719	kcnmb4-201	protein_coding	2437
#49	16	27924435	27925464	2.4682549668568606e-27	77	ensorlt00000037928	rnf183-201	protein_coding	-741
#50	21	28550521	28551558	2.4682549668568606e-27	50	ensorlt00000040597	pgap1-202	protein_coding	408
