distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
2948	enst00000535208	sg00000182870	galnt9-205	12	132257851	132275218	-	lnc_RNA	processed_transcript
2954	enst00000614360	sg00000182870	galnt9-210	12	132272693	132275224	-	lnc_RNA	processed_transcript
3121	enst00000543317	sg00000256943	ac148477.3-201	12	132275391	132276506	+	lnc_RNA	lncrna
3174	enst00000376617	sg00000256943	ac148477.3-202	12	132275444	132278329	+	lnc_RNA	lncrna
5079	enst00000537762	sg00000256542	ac148477.2-201	12	132277349	132280900	+	lnc_RNA	lncrna
8630	enst00000625164	sg00000278872	ac148477.5-201	12	132279256	132280900	-	unconfirmed_transcript	tec
10544	enst00000613430	sg00000277011	ac148477.4-201	12	132282814	132284606	+	lnc_RNA	lncrna
-13242	enst00000411988	sg00000182870	galnt9-203	12	132196509	132257742	-	mRNA	protein_coding
14201	enst00000540493	sg00000182870	galnt9-207	12	132283164	132286471	-	lnc_RNA	retained_intron
57079	enst00000424720	sg00000182870	galnt9-204	12	132247440	132329349	-	lnc_RNA	retained_intron
57319	enst00000328957	sg00000182870	galnt9-201	12	132196372	132329589	-	mRNA	protein_coding
57580	enst00000537720	sg00000255916	ac148477.1-201	12	132329850	132331575	+	lnc_RNA	lncrna
59735	enst00000623871	sg00000279113	ac148477.7-201	12	132332005	132332432	+	unconfirmed_transcript	tec
-64825	enst00000538356	sg00000182870	galnt9-206	12	132201137	132206159	-	mRNA	protein_coding
-64956	enst00000397325	sg00000182870	galnt9-202	12	132196372	132206028	-	mRNA	protein_coding
-65182	enst00000542942	sg00000182870	galnt9-209	12	132203507	132205802	-	mRNA	protein_coding
-65192	enst00000541995	sg00000182870	galnt9-208	12	132197073	132205792	-	mRNA	protein_coding
-70548	enst00000623965	sg00000279480	ac138466.4-201	12	132200436	132201287	+	unconfirmed_transcript	tec
72207	enst00000651513	sg00000286008	ac148477.10-201	12	132344477	132345352	+	lnc_RNA	lncrna
79585	enst00000624298	sg00000279704	ac148477.8-201	12	132351855	132352322	+	unconfirmed_transcript	tec
-80771	enst00000535242	sg00000256312	ac138466.1-201	12	132190213	132190997	+	lnc_RNA	lncrna
-81289	enst00000538731	sg00000256576	linc02361-201	12	132186735	132189695	-	lnc_RNA	lncrna
88464	enst00000623746	sg00000279023	ac148477.6-201	12	132360734	132361198	+	unconfirmed_transcript	tec
90540	enst00000623974	sg00000280150	ac148477.9-201	12	132362810	132363348	+	unconfirmed_transcript	tec
-101161	enst00000619983	sg00000276693	ac138466.3-201	12	132169823	132170043	+	lnc_RNA	lncrna
-120143	enst00000538784	sg00000184967	noc4l-203	12	132150841	132152473	+	lnc_RNA	retained_intron
-123327	enst00000535343	sg00000184967	noc4l-202	12	132147657	132151617	+	lnc_RNA	processed_transcript
-126220	enst00000541954	sg00000184967	noc4l-204	12	132144764	132148904	+	mRNA	protein_coding
-126527	enst00000330579	sg00000184967	noc4l-201	12	132144457	132152468	+	mRNA	protein_coding
-126665	enst00000397333	sg00000185163	ddx51-202	12	132136594	132144319	-	mRNA	protein_coding
-127345	enst00000329073	sg00000185163	ddx51-201	12	132139855	132143639	-	lnc_RNA	retained_intron
-128104	enst00000545991	sg00000185163	ddx51-205	12	132140422	132142880	-	lnc_RNA	retained_intron
-128611	enst00000546058	sg00000185163	ddx51-206	12	132141006	132142373	-	lnc_RNA	retained_intron
-130163	enst00000541489	sg00000185163	ddx51-204	12	132139113	132140821	-	lnc_RNA	retained_intron
-131011	enst00000462829	sg00000185163	ddx51-203	12	132137435	132139973	-	lnc_RNA	retained_intron
-144220	enst00000540993	sg00000256804	ac138466.2-201	12	132126461	132126764	-	pseudogenic_transcript	processed_pseudogene
-152838	enst00000475841	sg00000185684	ep400p1-208	12	132118146	132131639	+	lnc_RNA	processed_transcript
152938	enst00000622182	sg00000274373	ac148476.1-201	12	132424504	132425208	-	lnc_RNA	lncrna
-166963	enst00000641289	sg00000185684	ep400p1-214	12	132104021	132127177	+	pseudogenic_transcript	transcribed_unprocessed_pseudogene
-170164	enst00000624002	sg00000279640	ac138466.5-201	12	132100013	132100820	-	unconfirmed_transcript	tec
-180333	enst00000332441	sg00000185684	ep400p1-201	12	132090651	132126340	+	lnc_RNA	processed_transcript
184890	enst00000542627	sg00000256783	ac079031.1-201	12	132457160	132460024	+	lnc_RNA	lncrna
-185758	enst00000539205	sg00000185684	ep400p1-211	12	132085226	132104695	+	lnc_RNA	processed_transcript
-185935	enst00000407361	sg00000185684	ep400p1-204	12	132085049	132105069	+	lnc_RNA	processed_transcript
-186021	enst00000613241	sg00000185684	ep400p1-213	12	132084963	132088520	+	lnc_RNA	processed_transcript
-186504	enst00000392352	sg00000185684	ep400p1-203	12	132084480	132108899	+	lnc_RNA	processed_transcript
-186653	enst00000443539	sg00000185684	ep400p1-205	12	132084331	132108898	+	lnc_RNA	processed_transcript
-186664	enst00000389560	sg00000185684	ep400p1-202	12	132084320	132108899	+	lnc_RNA	processed_transcript
-186671	enst00000454179	sg00000185684	ep400p1-207	12	132084313	132104897	+	lnc_RNA	processed_transcript
-186671	enst00000488030	sg00000185684	ep400p1-209	12	132084313	132126197	+	lnc_RNA	processed_transcript
-186694	enst00000539351	sg00000185684	ep400p1-212	12	132084290	132085509	+	lnc_RNA	processed_transcript
-186699	enst00000537558	sg00000185684	ep400p1-210	12	132084285	132085797	+	lnc_RNA	processed_transcript
-186701	enst00000446190	sg00000185684	ep400p1-206	12	132084283	132123580	+	lnc_RNA	processed_transcript
-187205	enst00000619709	sg00000274670	ac137590.2-201	12	132083540	132083779	-	lnc_RNA	lncrna
189972	enst00000537742	sg00000256875	ac079031.2-201	12	132462242	132462856	+	lnc_RNA	lncrna
-190524	enst00000542422	sg00000257000	ac137590.1-201	12	132077803	132080460	-	lnc_RNA	lncrna
-195283	enst00000611118	sg00000183495	ep400-205	12	132075701	132078910	+	lnc_RNA	retained_intron
-202885	enst00000616136	sg00000183495	ep400-208	12	132068099	132078913	+	lnc_RNA	retained_intron
-206076	enst00000611739	sg00000183495	ep400-206	12	132064908	132078910	+	lnc_RNA	retained_intron
-208389	enst00000330386	sg00000183495	ep400-201	12	132062595	132080457	+	mRNA	protein_coding
217281	enst00000650108	sg00000112787	fbrsl1-208	12	132489551	132585188	+	mRNA	protein_coding
217281	enst00000434748	sg00000112787	fbrsl1-201	12	132489551	132585188	+	mRNA	protein_coding
234760	enst00000542061	sg00000112787	fbrsl1-204	12	132507030	132511952	+	mRNA	protein_coding
-239760	enst00000386157	sg00000208892	snora49-201	12	132031224	132031359	+	snoRNA	snorna
-242038	enst00000611841	sg00000183495	ep400-207	12	132028946	132051016	+	lnc_RNA	retained_intron
278459	enst00000624087	sg00000280287	ac131212.3-201	12	132550729	132554947	+	unconfirmed_transcript	tec
287777	enst00000539264	sg00000112787	fbrsl1-203	12	132560047	132570104	+	lnc_RNA	processed_transcript
287883	enst00000543360	sg00000112787	fbrsl1-206	12	132560153	132570039	+	lnc_RNA	processed_transcript
292801	enst00000622917	sg00000279700	ac131212.2-201	12	132565071	132566425	+	unconfirmed_transcript	tec
298882	enst00000543453	sg00000112787	fbrsl1-207	12	132571152	132572594	+	lnc_RNA	processed_transcript
299591	enst00000542306	sg00000112787	fbrsl1-205	12	132571861	132582267	+	lnc_RNA	retained_intron
300257	enst00000537804	sg00000112787	fbrsl1-202	12	132572527	132576861	+	lnc_RNA	processed_transcript
309727	enst00000612332	sg00000277052	mir6763-201	12	132581997	132582061	+	miRNA	mirna
-321013	enst00000333577	sg00000183495	ep400-203	12	131949971	131995012	+	mRNA	protein_coding
-321021	enst00000332482	sg00000183495	ep400-202	12	131949963	131990675	+	mRNA	protein_coding
-321042	enst00000389561	sg00000183495	ep400-204	12	131949942	132080460	+	mRNA	protein_coding
321428	enst00000613771	sg00000277186	ac131212.1-201	12	132593031	132593698	-	lnc_RNA	lncrna
