distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
-11605	enst00000534940	sg00000169093	asmtl-206	X	1403139	1453762	-	mRNA	protein_coding
-12438	enst00000381333	sg00000169093	asmtl-202	X	1403141	1452929	-	mRNA	protein_coding
-12458	enst00000381317	sg00000169093	asmtl-201	X	1403139	1452909	-	mRNA	protein_coding
-12495	enst00000474865	sg00000169093	asmtl-205	X	1441592	1452872	-	lnc_RNA	processed_transcript
27631	enst00000460672	sg00000182162	p2ry8-202	X	1466437	1494353	-	mRNA	protein_coding
-29639	enst00000462195	sg00000169093	asmtl-203	X	1431902	1435728	-	lnc_RNA	processed_transcript
-29976	enst00000463763	sg00000169093	asmtl-204	X	1427727	1435391	-	lnc_RNA	processed_transcript
-61857	enst00000602357	sg00000236017	asmtl-as1-205	X	1403510	1414024	+	lnc_RNA	lncrna
-61908	enst00000419737	sg00000236017	asmtl-as1-201	X	1403459	1414028	+	lnc_RNA	lncrna
-63324	enst00000420411	sg00000236017	asmtl-as1-202	X	1402043	1413131	+	lnc_RNA	lncrna
-63556	enst00000425740	sg00000236017	asmtl-as1-203	X	1401811	1413915	+	lnc_RNA	lncrna
-63598	enst00000443929	sg00000236017	asmtl-as1-204	X	1401769	1403493	+	lnc_RNA	lncrna
-68342	enst00000430235	sg00000236871	linc00106-201	X	1397025	1399402	+	lnc_RNA	lncrna
-68940	enst00000434938	sg00000236871	linc00106-202	X	1396427	1398958	+	lnc_RNA	lncrna
70463	enst00000381297	sg00000182162	p2ry8-201	X	1462581	1537185	-	mRNA	protein_coding
-73254	enst00000381401	sg00000169100	slc25a6-201	X	1386152	1392113	-	mRNA	protein_coding
-73264	enst00000475167	sg00000169100	slc25a6-202	X	1387311	1392103	-	lnc_RNA	processed_transcript
-73279	enst00000484026	sg00000169100	slc25a6-203	X	1387345	1392088	-	lnc_RNA	processed_transcript
124882	enst00000313871	sg00000197976	akap17a-201	X	1591604	1602520	+	mRNA	protein_coding
124901	enst00000474361	sg00000197976	akap17a-203	X	1591623	1602502	+	mRNA	nonsense_mediated_decay
124903	enst00000381261	sg00000197976	akap17a-202	X	1591625	1600303	+	mRNA	protein_coding
-128571	enst00000432757	sg00000185291	il3ra-203	X	1336796	1356331	+	mRNA	protein_coding
-128582	enst00000331035	sg00000185291	il3ra-201	X	1336785	1382689	+	mRNA	protein_coding
-128751	enst00000381469	sg00000185291	il3ra-202	X	1336616	1382689	+	mRNA	protein_coding
148337	enst00000381241	sg00000196433	asmt-203	X	1615059	1643081	+	mRNA	protein_coding
148442	enst00000381229	sg00000196433	asmt-201	X	1615164	1643027	+	mRNA	protein_coding
148453	enst00000381233	sg00000196433	asmt-202	X	1615175	1643081	+	mRNA	protein_coding
161024	enst00000509780	sg00000196433	asmt-205	X	1627746	1636463	+	lnc_RNA	processed_transcript
-164992	enst00000411342	sg00000223274	rna5sp498-201	X	1300256	1300375	-	pseudogenic_transcript	rrna_pseudogene
169676	enst00000432523	sg00000196433	asmt-204	X	1636398	1643081	+	mRNA	protein_coding
-171039	enst00000498153	sg00000198223	csf2ra-218	X	1294328	1309934	+	lnc_RNA	processed_transcript
-171142	enst00000491683	sg00000198223	csf2ra-215	X	1294225	1295578	+	lnc_RNA	processed_transcript
-171449	enst00000580266	sg00000265658	mir3690-201	X	1293918	1293992	+	miRNA	mirna
-174914	enst00000475259	sg00000198223	csf2ra-210	X	1290453	1309922	+	lnc_RNA	processed_transcript
-176769	enst00000478256	sg00000198223	csf2ra-212	X	1288598	1289105	+	lnc_RNA	processed_transcript
-179715	enst00000477940	sg00000198223	csf2ra-211	X	1285652	1288640	+	lnc_RNA	processed_transcript
-182681	enst00000381500	sg00000198223	csf2ra-203	X	1282686	1309638	+	mRNA	protein_coding
-196522	enst00000486791	sg00000198223	csf2ra-214	X	1268845	1309934	+	mRNA	nonsense_mediated_decay
-196522	enst00000355805	sg00000198223	csf2ra-202	X	1268845	1309934	+	mRNA	protein_coding
-196522	enst00000355432	sg00000198223	csf2ra-201	X	1268845	1309934	+	mRNA	protein_coding
-196532	enst00000481245	sg00000198223	csf2ra-213	X	1268835	1282220	+	lnc_RNA	processed_transcript
-196535	enst00000494969	sg00000198223	csf2ra-217	X	1268832	1309922	+	mRNA	protein_coding
-196535	enst00000381509	sg00000198223	csf2ra-204	X	1268832	1305941	+	mRNA	protein_coding
-196537	enst00000432318	sg00000198223	csf2ra-209	X	1268830	1309924	+	mRNA	protein_coding
-196549	enst00000412290	sg00000198223	csf2ra-207	X	1268818	1294395	+	mRNA	protein_coding
-196553	enst00000493312	sg00000198223	csf2ra-216	X	1268814	1300543	+	lnc_RNA	processed_transcript
-196559	enst00000381524	sg00000198223	csf2ra-205	X	1268808	1310381	+	mRNA	protein_coding
-196567	enst00000417535	sg00000198223	csf2ra-208	X	1268800	1309935	+	mRNA	protein_coding
-196567	enst00000381529	sg00000198223	csf2ra-206	X	1268800	1309922	+	mRNA	protein_coding
-196567	enst00000501036	sg00000198223	csf2ra-219	X	1268800	1309935	+	mRNA	protein_coding
-252644	enst00000467626	sg00000205755	crlf2-204	X	1190492	1212723	-	mRNA	nonsense_mediated_decay
-252718	enst00000400841	sg00000205755	crlf2-203	X	1190490	1212649	-	mRNA	protein_coding
-252730	enst00000381566	sg00000205755	crlf2-201	X	1187549	1212637	-	mRNA	protein_coding
-252733	enst00000381567	sg00000205755	crlf2-202	X	1190897	1212634	-	mRNA	protein_coding
265862	enst00000427886	sg00000223511	al683807.1-201	X	1732584	1741988	+	lnc_RNA	lncrna
267395	enst00000432272	sg00000223511	al683807.1-202	X	1734117	1763212	+	lnc_RNA	lncrna
300625	enst00000453953	sg00000234622	al683807.2-201	X	1767347	1768776	+	lnc_RNA	lncrna
-455266	enst00000436474	sg00000225661	rpl14p5-201	X	1008503	1010101	-	pseudogenic_transcript	processed_pseudogene
-475146	enst00000420865	sg00000237531	al672277.1-201	X	990221	994365	+	lnc_RNA	lncrna
